127.0.0.1 - - [07/Jul/2015:19:39:39 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:40 -0400] "GET /MikeGames/ HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:41 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 200 66986
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:41 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:41 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:51 -0400] "GET /MikeGames/ HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:51 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:51 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:51 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:51 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:39:53 -0400] "GET /MikeGames/about.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2015:19:39:53 -0400] "GET /MikeGames/Tetris.jar HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:40:01 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:40:01 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:40:01 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:40:01 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:40:13 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:40:17 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:40:17 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:41:18 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:41:18 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:41:18 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 200 271802
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:41:18 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 200 313634
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:41:18 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 200 66986
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:41:18 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:42:12 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:42:12 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:42:12 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:42:12 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:42:12 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:42:12 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:44:32 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:44:32 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:44:32 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:44:32 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:44:32 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:19:44:32 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
